"Date","Time","Test Total Time",,
"08/17/22","12:54:54","(hh:mm:ss): 1:01:12",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"2.25 Ah","2.29 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"1","Li-poly","0.500 kg",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"2.250 Amps","AmpHrs",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"2250mAh 1s 1C 2.25A","0.000","4.192","0.000","71.10"
"2250mAh 1s 1C 2.25A","1.000","4.157","1.359","71.20"
"2250mAh 1s 1C 2.25A","2.000","4.131","2.250","71.10"
"2250mAh 1s 1C 2.25A","3.000","4.128","2.250","71.20"
"2250mAh 1s 1C 2.25A","4.000","4.126","2.250","71.20"
"2250mAh 1s 1C 2.25A","5.000","4.125","2.250","71.20"
"2250mAh 1s 1C 2.25A","6.000","4.125","2.250","71.10"
"2250mAh 1s 1C 2.25A","7.000","4.123","2.250","71.20"
"2250mAh 1s 1C 2.25A","8.000","4.122","2.250","71.20"
"2250mAh 1s 1C 2.25A","9.000","4.121","2.250","71.10"
"2250mAh 1s 1C 2.25A","10.000","4.121","2.250","71.20"
"2250mAh 1s 1C 2.25A","11.000","4.121","2.250","71.10"
"2250mAh 1s 1C 2.25A","12.000","4.118","2.250","71.20"
"2250mAh 1s 1C 2.25A","13.000","4.118","2.250","71.10"
"2250mAh 1s 1C 2.25A","14.000","4.117","2.250","71.20"
"2250mAh 1s 1C 2.25A","15.000","4.116","2.250","71.20"
"2250mAh 1s 1C 2.25A","16.000","4.116","2.250","71.10"
"2250mAh 1s 1C 2.25A","17.000","4.116","2.250","71.20"
"2250mAh 1s 1C 2.25A","18.000","4.115","2.250","71.00"
"2250mAh 1s 1C 2.25A","19.000","4.115","2.250","71.20"
"2250mAh 1s 1C 2.25A","20.000","4.113","2.250","71.20"
"2250mAh 1s 1C 2.25A","21.000","4.113","2.250","71.20"
"2250mAh 1s 1C 2.25A","22.000","4.113","2.250","71.20"
"2250mAh 1s 1C 2.25A","23.000","4.112","2.250","71.20"
"2250mAh 1s 1C 2.25A","24.000","4.112","2.250","71.20"
"2250mAh 1s 1C 2.25A","25.000","4.111","2.250","71.20"
"2250mAh 1s 1C 2.25A","26.000","4.111","2.250","71.20"
"2250mAh 1s 1C 2.25A","27.000","4.111","2.250","71.20"
"2250mAh 1s 1C 2.25A","28.000","4.111","2.250","71.20"
"2250mAh 1s 1C 2.25A","29.000","4.110","2.250","71.20"
"2250mAh 1s 1C 2.25A","30.000","4.110","2.250","71.20"
"2250mAh 1s 1C 2.25A","31.000","4.110","2.250","71.20"
"2250mAh 1s 1C 2.25A","32.000","4.108","2.250","71.20"
"2250mAh 1s 1C 2.25A","33.000","4.108","2.250","71.20"
"2250mAh 1s 1C 2.25A","34.000","4.107","2.250","71.20"
"2250mAh 1s 1C 2.25A","35.000","4.107","2.250","71.20"
"2250mAh 1s 1C 2.25A","36.000","4.107","2.250","71.20"
"2250mAh 1s 1C 2.25A","37.000","4.107","2.250","71.20"
"2250mAh 1s 1C 2.25A","38.000","4.106","2.250","71.20"
"2250mAh 1s 1C 2.25A","39.000","4.106","2.250","71.10"
"2250mAh 1s 1C 2.25A","40.000","4.106","2.250","71.20"
"2250mAh 1s 1C 2.25A","41.000","4.106","2.250","71.20"
"2250mAh 1s 1C 2.25A","42.000","4.106","2.250","71.20"
"2250mAh 1s 1C 2.25A","43.000","4.106","2.250","71.20"
"2250mAh 1s 1C 2.25A","44.000","4.105","2.250","71.20"
"2250mAh 1s 1C 2.25A","45.000","4.105","2.250","71.20"
"2250mAh 1s 1C 2.25A","46.000","4.103","2.250","71.10"
"2250mAh 1s 1C 2.25A","47.000","4.103","2.250","71.30"
"2250mAh 1s 1C 2.25A","48.000","4.103","2.250","71.30"
"2250mAh 1s 1C 2.25A","49.000","4.103","2.250","71.20"
"2250mAh 1s 1C 2.25A","50.000","4.102","2.250","71.20"
"2250mAh 1s 1C 2.25A","51.000","4.102","2.250","71.20"
"2250mAh 1s 1C 2.25A","52.000","4.102","2.250","71.20"
"2250mAh 1s 1C 2.25A","53.000","4.102","2.250","71.20"
"2250mAh 1s 1C 2.25A","54.000","4.101","2.250","71.30"
"2250mAh 1s 1C 2.25A","55.000","4.101","2.250","71.20"
"2250mAh 1s 1C 2.25A","56.000","4.101","2.250","71.20"
"2250mAh 1s 1C 2.25A","57.000","4.101","2.250","71.20"
"2250mAh 1s 1C 2.25A","58.000","4.100","2.250","71.30"
"2250mAh 1s 1C 2.25A","59.000","4.100","2.250","71.30"
"2250mAh 1s 1C 2.25A","60.000","4.098","2.250","71.20"
"2250mAh 1s 1C 2.25A","61.000","4.098","2.250","71.30"
"2250mAh 1s 1C 2.25A","62.000","4.098","2.250","71.30"
"2250mAh 1s 1C 2.25A","63.000","4.097","2.250","71.20"
"2250mAh 1s 1C 2.25A","64.000","4.097","2.250","71.30"
"2250mAh 1s 1C 2.25A","65.000","4.097","2.250","71.20"
"2250mAh 1s 1C 2.25A","66.000","4.096","2.250","71.20"
"2250mAh 1s 1C 2.25A","67.000","4.097","2.250","71.20"
"2250mAh 1s 1C 2.25A","68.000","4.096","2.250","71.20"
"2250mAh 1s 1C 2.25A","69.000","4.096","2.250","71.20"
"2250mAh 1s 1C 2.25A","70.000","4.096","2.250","71.20"
"2250mAh 1s 1C 2.25A","71.000","4.096","2.250","71.20"
"2250mAh 1s 1C 2.25A","72.000","4.094","2.250","71.20"
"2250mAh 1s 1C 2.25A","73.000","4.094","2.250","71.20"
"2250mAh 1s 1C 2.25A","74.000","4.094","2.250","71.20"
"2250mAh 1s 1C 2.25A","75.000","4.094","2.250","71.20"
"2250mAh 1s 1C 2.25A","76.000","4.094","2.250","71.20"
"2250mAh 1s 1C 2.25A","77.000","4.093","2.250","71.20"
"2250mAh 1s 1C 2.25A","78.000","4.093","2.250","71.30"
"2250mAh 1s 1C 2.25A","79.000","4.093","2.250","71.20"
"2250mAh 1s 1C 2.25A","80.000","4.092","2.250","71.20"
"2250mAh 1s 1C 2.25A","81.000","4.092","2.250","71.20"
"2250mAh 1s 1C 2.25A","82.000","4.092","2.250","71.20"
"2250mAh 1s 1C 2.25A","83.000","4.092","2.250","71.20"
"2250mAh 1s 1C 2.25A","84.000","4.092","2.250","71.30"
"2250mAh 1s 1C 2.25A","85.000","4.091","2.250","71.30"
"2250mAh 1s 1C 2.25A","86.000","4.091","2.250","71.30"
"2250mAh 1s 1C 2.25A","87.000","4.091","2.250","71.20"
"2250mAh 1s 1C 2.25A","88.000","4.091","2.250","71.20"
"2250mAh 1s 1C 2.25A","89.000","4.091","2.250","71.30"
"2250mAh 1s 1C 2.25A","90.000","4.089","2.250","71.20"
"2250mAh 1s 1C 2.25A","91.000","4.089","2.250","71.30"
"2250mAh 1s 1C 2.25A","92.000","4.089","2.250","71.20"
"2250mAh 1s 1C 2.25A","93.000","4.088","2.250","71.20"
"2250mAh 1s 1C 2.25A","94.000","4.088","2.250","71.30"
"2250mAh 1s 1C 2.25A","95.000","4.088","2.250","71.30"
"2250mAh 1s 1C 2.25A","96.000","4.088","2.250","71.20"
"2250mAh 1s 1C 2.25A","97.000","4.088","2.250","71.30"
"2250mAh 1s 1C 2.25A","98.000","4.088","2.250","71.20"
"2250mAh 1s 1C 2.25A","99.000","4.087","2.250","71.30"
"2250mAh 1s 1C 2.25A","100.000","4.087","2.250","71.20"
"2250mAh 1s 1C 2.25A","101.000","4.087","2.250","71.30"
"2250mAh 1s 1C 2.25A","102.000","4.086","2.250","71.20"
"2250mAh 1s 1C 2.25A","103.000","4.086","2.250","71.20"
"2250mAh 1s 1C 2.25A","104.000","4.086","2.250","71.20"
"2250mAh 1s 1C 2.25A","105.000","4.086","2.250","71.30"
"2250mAh 1s 1C 2.25A","106.000","4.086","2.250","71.30"
"2250mAh 1s 1C 2.25A","107.000","4.086","2.250","71.20"
"2250mAh 1s 1C 2.25A","108.000","4.086","2.250","71.20"
"2250mAh 1s 1C 2.25A","109.000","4.084","2.250","71.20"
"2250mAh 1s 1C 2.25A","110.000","4.084","2.250","71.20"
"2250mAh 1s 1C 2.25A","111.000","4.084","2.250","71.30"
"2250mAh 1s 1C 2.25A","112.000","4.084","2.250","71.30"
"2250mAh 1s 1C 2.25A","113.000","4.083","2.250","71.20"
"2250mAh 1s 1C 2.25A","114.000","4.084","2.250","71.30"
"2250mAh 1s 1C 2.25A","115.000","4.083","2.250","71.30"
"2250mAh 1s 1C 2.25A","116.000","4.083","2.250","71.20"
"2250mAh 1s 1C 2.25A","117.000","4.082","2.250","71.30"
"2250mAh 1s 1C 2.25A","118.000","4.082","2.250","71.20"
"2250mAh 1s 1C 2.25A","119.000","4.082","2.250","71.30"
"2250mAh 1s 1C 2.25A","120.000","4.082","2.250","71.30"
"2250mAh 1s 1C 2.25A","121.000","4.082","2.250","71.30"
"2250mAh 1s 1C 2.25A","122.000","4.081","2.250","71.20"
"2250mAh 1s 1C 2.25A","123.000","4.081","2.250","71.30"
"2250mAh 1s 1C 2.25A","124.000","4.081","2.250","71.30"
"2250mAh 1s 1C 2.25A","125.000","4.081","2.250","71.20"
"2250mAh 1s 1C 2.25A","126.000","4.081","2.250","71.20"
"2250mAh 1s 1C 2.25A","127.000","4.081","2.250","71.20"
"2250mAh 1s 1C 2.25A","128.000","4.081","2.250","71.30"
"2250mAh 1s 1C 2.25A","129.000","4.081","2.250","71.30"
"2250mAh 1s 1C 2.25A","130.000","4.079","2.250","71.30"
"2250mAh 1s 1C 2.25A","131.000","4.079","2.250","71.30"
"2250mAh 1s 1C 2.25A","132.000","4.078","2.250","71.30"
"2250mAh 1s 1C 2.25A","133.000","4.078","2.250","71.20"
"2250mAh 1s 1C 2.25A","134.000","4.078","2.250","71.30"
"2250mAh 1s 1C 2.25A","135.000","4.078","2.250","71.30"
"2250mAh 1s 1C 2.25A","136.000","4.077","2.250","71.30"
"2250mAh 1s 1C 2.25A","137.000","4.077","2.250","71.30"
"2250mAh 1s 1C 2.25A","138.000","4.077","2.250","71.20"
"2250mAh 1s 1C 2.25A","139.000","4.076","2.250","71.30"
"2250mAh 1s 1C 2.25A","140.000","4.076","2.250","71.30"
"2250mAh 1s 1C 2.25A","141.000","4.076","2.250","71.30"
"2250mAh 1s 1C 2.25A","142.000","4.076","2.250","71.30"
"2250mAh 1s 1C 2.25A","143.000","4.076","2.250","71.20"
"2250mAh 1s 1C 2.25A","144.000","4.076","2.250","71.30"
"2250mAh 1s 1C 2.25A","145.000","4.076","2.250","71.30"
"2250mAh 1s 1C 2.25A","146.000","4.074","2.250","71.30"
"2250mAh 1s 1C 2.25A","147.000","4.074","2.250","71.30"
"2250mAh 1s 1C 2.25A","148.000","4.074","2.250","71.30"
"2250mAh 1s 1C 2.25A","149.000","4.074","2.250","71.30"
"2250mAh 1s 1C 2.25A","150.000","4.074","2.250","71.30"
"2250mAh 1s 1C 2.25A","151.000","4.073","2.250","71.20"
"2250mAh 1s 1C 2.25A","152.000","4.073","2.250","71.30"
"2250mAh 1s 1C 2.25A","153.000","4.073","2.250","71.30"
"2250mAh 1s 1C 2.25A","154.000","4.073","2.250","71.30"
"2250mAh 1s 1C 2.25A","155.000","4.072","2.250","71.30"
"2250mAh 1s 1C 2.25A","156.000","4.072","2.250","71.30"
"2250mAh 1s 1C 2.25A","157.000","4.072","2.250","71.30"
"2250mAh 1s 1C 2.25A","158.000","4.072","2.250","71.30"
"2250mAh 1s 1C 2.25A","159.000","4.071","2.250","71.30"
"2250mAh 1s 1C 2.25A","160.000","4.071","2.250","71.30"
"2250mAh 1s 1C 2.25A","161.000","4.071","2.250","71.30"
"2250mAh 1s 1C 2.25A","162.000","4.071","2.250","71.30"
"2250mAh 1s 1C 2.25A","163.000","4.071","2.250","71.30"
"2250mAh 1s 1C 2.25A","164.000","4.069","2.250","71.30"
"2250mAh 1s 1C 2.25A","165.000","4.069","2.250","71.20"
"2250mAh 1s 1C 2.25A","166.000","4.069","2.250","71.30"
"2250mAh 1s 1C 2.25A","167.000","4.069","2.250","71.30"
"2250mAh 1s 1C 2.25A","168.000","4.068","2.250","71.30"
"2250mAh 1s 1C 2.25A","169.000","4.068","2.250","71.30"
"2250mAh 1s 1C 2.25A","170.000","4.068","2.250","71.30"
"2250mAh 1s 1C 2.25A","171.000","4.068","2.250","71.30"
"2250mAh 1s 1C 2.25A","172.000","4.068","2.250","71.20"
"2250mAh 1s 1C 2.25A","173.000","4.068","2.250","71.30"
"2250mAh 1s 1C 2.25A","174.000","4.068","2.250","71.30"
"2250mAh 1s 1C 2.25A","175.000","4.067","2.250","71.30"
"2250mAh 1s 1C 2.25A","176.000","4.067","2.250","71.30"
"2250mAh 1s 1C 2.25A","177.000","4.067","2.250","71.20"
"2250mAh 1s 1C 2.25A","178.000","4.066","2.250","71.30"
"2250mAh 1s 1C 2.25A","179.000","4.066","2.250","71.30"
"2250mAh 1s 1C 2.25A","180.000","4.066","2.250","71.20"
"2250mAh 1s 1C 2.25A","181.000","4.066","2.250","71.30"
"2250mAh 1s 1C 2.25A","182.000","4.066","2.250","71.30"
"2250mAh 1s 1C 2.25A","183.000","4.066","2.250","71.30"
"2250mAh 1s 1C 2.25A","184.000","4.066","2.250","71.30"
"2250mAh 1s 1C 2.25A","185.000","4.064","2.250","71.30"
"2250mAh 1s 1C 2.25A","186.000","4.066","2.250","71.30"
"2250mAh 1s 1C 2.25A","187.000","4.064","2.250","71.20"
"2250mAh 1s 1C 2.25A","188.000","4.064","2.250","71.30"
"2250mAh 1s 1C 2.25A","189.000","4.064","2.250","71.30"
"2250mAh 1s 1C 2.25A","190.000","4.063","2.250","71.30"
"2250mAh 1s 1C 2.25A","191.000","4.063","2.250","71.30"
"2250mAh 1s 1C 2.25A","192.000","4.063","2.250","71.20"
"2250mAh 1s 1C 2.25A","193.000","4.063","2.250","71.30"
"2250mAh 1s 1C 2.25A","194.000","4.063","2.250","71.30"
"2250mAh 1s 1C 2.25A","195.000","4.062","2.250","71.30"
"2250mAh 1s 1C 2.25A","196.000","4.062","2.250","71.20"
"2250mAh 1s 1C 2.25A","197.000","4.062","2.250","71.30"
"2250mAh 1s 1C 2.25A","198.000","4.062","2.250","71.20"
"2250mAh 1s 1C 2.25A","199.000","4.061","2.250","71.20"
"2250mAh 1s 1C 2.25A","200.000","4.061","2.250","71.30"
"2250mAh 1s 1C 2.25A","201.000","4.061","2.250","71.30"
"2250mAh 1s 1C 2.25A","202.000","4.061","2.250","71.30"
"2250mAh 1s 1C 2.25A","203.000","4.061","2.250","71.30"
"2250mAh 1s 1C 2.25A","204.000","4.061","2.250","71.20"
"2250mAh 1s 1C 2.25A","205.000","4.061","2.250","71.30"
"2250mAh 1s 1C 2.25A","206.000","4.059","2.250","71.30"
"2250mAh 1s 1C 2.25A","207.000","4.059","2.250","71.30"
"2250mAh 1s 1C 2.25A","208.000","4.058","2.250","71.30"
"2250mAh 1s 1C 2.25A","209.000","4.058","2.250","71.30"
"2250mAh 1s 1C 2.25A","210.000","4.058","2.250","71.30"
"2250mAh 1s 1C 2.25A","211.000","4.058","2.250","71.20"
"2250mAh 1s 1C 2.25A","212.000","4.057","2.250","71.30"
"2250mAh 1s 1C 2.25A","213.000","4.057","2.250","71.30"
"2250mAh 1s 1C 2.25A","214.000","4.056","2.250","71.30"
"2250mAh 1s 1C 2.25A","215.000","4.056","2.250","71.30"
"2250mAh 1s 1C 2.25A","216.000","4.056","2.250","71.30"
"2250mAh 1s 1C 2.25A","217.000","4.056","2.250","71.20"
"2250mAh 1s 1C 2.25A","218.000","4.056","2.250","71.30"
"2250mAh 1s 1C 2.25A","219.000","4.056","2.250","71.30"
"2250mAh 1s 1C 2.25A","220.000","4.056","2.250","71.30"
"2250mAh 1s 1C 2.25A","221.000","4.054","2.250","71.30"
"2250mAh 1s 1C 2.25A","222.000","4.054","2.250","71.30"
"2250mAh 1s 1C 2.25A","223.000","4.054","2.250","71.30"
"2250mAh 1s 1C 2.25A","224.000","4.054","2.250","71.30"
"2250mAh 1s 1C 2.25A","225.000","4.054","2.250","71.30"
"2250mAh 1s 1C 2.25A","226.000","4.054","2.250","71.30"
"2250mAh 1s 1C 2.25A","227.000","4.053","2.250","71.30"
"2250mAh 1s 1C 2.25A","228.000","4.053","2.250","71.30"
"2250mAh 1s 1C 2.25A","229.000","4.053","2.250","71.20"
"2250mAh 1s 1C 2.25A","230.000","4.053","2.250","71.30"
"2250mAh 1s 1C 2.25A","231.000","4.053","2.250","71.30"
"2250mAh 1s 1C 2.25A","232.000","4.052","2.250","71.30"
"2250mAh 1s 1C 2.25A","233.000","4.052","2.250","71.30"
"2250mAh 1s 1C 2.25A","234.000","4.052","2.250","71.30"
"2250mAh 1s 1C 2.25A","235.000","4.051","2.250","71.30"
"2250mAh 1s 1C 2.25A","236.000","4.051","2.250","71.30"
"2250mAh 1s 1C 2.25A","237.000","4.051","2.250","71.30"
"2250mAh 1s 1C 2.25A","238.000","4.051","2.250","71.30"
"2250mAh 1s 1C 2.25A","239.000","4.051","2.250","71.30"
"2250mAh 1s 1C 2.25A","240.000","4.051","2.250","71.30"
"2250mAh 1s 1C 2.25A","241.000","4.049","2.250","71.40"
"2250mAh 1s 1C 2.25A","242.000","4.049","2.250","71.30"
"2250mAh 1s 1C 2.25A","243.000","4.049","2.250","71.30"
"2250mAh 1s 1C 2.25A","244.000","4.049","2.250","71.30"
"2250mAh 1s 1C 2.25A","245.000","4.049","2.250","71.30"
"2250mAh 1s 1C 2.25A","246.000","4.048","2.250","71.30"
"2250mAh 1s 1C 2.25A","247.000","4.048","2.250","71.20"
"2250mAh 1s 1C 2.25A","248.000","4.048","2.250","71.30"
"2250mAh 1s 1C 2.25A","249.000","4.048","2.250","71.30"
"2250mAh 1s 1C 2.25A","250.000","4.048","2.250","71.40"
"2250mAh 1s 1C 2.25A","251.000","4.047","2.250","71.20"
"2250mAh 1s 1C 2.25A","252.000","4.047","2.250","71.40"
"2250mAh 1s 1C 2.25A","253.000","4.047","2.250","71.30"
"2250mAh 1s 1C 2.25A","254.000","4.047","2.250","71.30"
"2250mAh 1s 1C 2.25A","255.000","4.045","2.250","71.30"
"2250mAh 1s 1C 2.25A","256.000","4.045","2.250","71.40"
"2250mAh 1s 1C 2.25A","257.000","4.045","2.250","71.30"
"2250mAh 1s 1C 2.25A","258.000","4.045","2.250","71.40"
"2250mAh 1s 1C 2.25A","259.000","4.045","2.250","71.30"
"2250mAh 1s 1C 2.25A","260.000","4.045","2.250","71.30"
"2250mAh 1s 1C 2.25A","261.000","4.045","2.250","71.30"
"2250mAh 1s 1C 2.25A","262.000","4.045","2.250","71.20"
"2250mAh 1s 1C 2.25A","263.000","4.045","2.250","71.30"
"2250mAh 1s 1C 2.25A","264.000","4.044","2.250","71.30"
"2250mAh 1s 1C 2.25A","265.000","4.044","2.250","71.40"
"2250mAh 1s 1C 2.25A","266.000","4.044","2.250","71.30"
"2250mAh 1s 1C 2.25A","267.000","4.043","2.250","71.30"
"2250mAh 1s 1C 2.25A","268.000","4.043","2.250","71.40"
"2250mAh 1s 1C 2.25A","269.000","4.043","2.250","71.30"
"2250mAh 1s 1C 2.25A","270.000","4.043","2.250","71.40"
"2250mAh 1s 1C 2.25A","271.000","4.043","2.250","71.40"
"2250mAh 1s 1C 2.25A","272.000","4.042","2.250","71.40"
"2250mAh 1s 1C 2.25A","273.000","4.042","2.250","71.30"
"2250mAh 1s 1C 2.25A","274.000","4.042","2.250","71.30"
"2250mAh 1s 1C 2.25A","275.000","4.042","2.250","71.40"
"2250mAh 1s 1C 2.25A","276.000","4.042","2.250","71.40"
"2250mAh 1s 1C 2.25A","277.000","4.040","2.250","71.30"
"2250mAh 1s 1C 2.25A","278.000","4.040","2.250","71.40"
"2250mAh 1s 1C 2.25A","279.000","4.040","2.250","71.40"
"2250mAh 1s 1C 2.25A","280.000","4.040","2.250","71.30"
"2250mAh 1s 1C 2.25A","281.000","4.040","2.250","71.40"
"2250mAh 1s 1C 2.25A","282.000","4.040","2.250","71.40"
"2250mAh 1s 1C 2.25A","283.000","4.040","2.250","71.40"
"2250mAh 1s 1C 2.25A","284.000","4.040","2.250","71.40"
"2250mAh 1s 1C 2.25A","285.000","4.039","2.250","71.40"
"2250mAh 1s 1C 2.25A","286.000","4.039","2.250","71.40"
"2250mAh 1s 1C 2.25A","287.000","4.039","2.250","71.30"
"2250mAh 1s 1C 2.25A","288.000","4.039","2.250","71.30"
"2250mAh 1s 1C 2.25A","289.000","4.038","2.250","71.30"
"2250mAh 1s 1C 2.25A","290.000","4.038","2.250","71.40"
"2250mAh 1s 1C 2.25A","291.000","4.038","2.250","71.50"
"2250mAh 1s 1C 2.25A","292.000","4.037","2.250","71.30"
"2250mAh 1s 1C 2.25A","293.000","4.037","2.250","71.30"
"2250mAh 1s 1C 2.25A","294.000","4.037","2.250","71.40"
"2250mAh 1s 1C 2.25A","295.000","4.035","2.250","71.40"
"2250mAh 1s 1C 2.25A","296.000","4.037","2.250","71.30"
"2250mAh 1s 1C 2.25A","297.000","4.035","2.250","71.30"
"2250mAh 1s 1C 2.25A","298.000","4.035","2.250","71.30"
"2250mAh 1s 1C 2.25A","299.000","4.035","2.250","71.40"
"2250mAh 1s 1C 2.25A","300.000","4.035","2.250","71.40"
"2250mAh 1s 1C 2.25A","301.000","4.035","2.250","71.40"
"2250mAh 1s 1C 2.25A","302.000","4.034","2.250","71.30"
"2250mAh 1s 1C 2.25A","303.000","4.034","2.250","71.30"
"2250mAh 1s 1C 2.25A","304.000","4.034","2.250","71.40"
"2250mAh 1s 1C 2.25A","305.000","4.034","2.250","71.40"
"2250mAh 1s 1C 2.25A","306.000","4.034","2.250","71.50"
"2250mAh 1s 1C 2.25A","307.000","4.034","2.250","71.40"
"2250mAh 1s 1C 2.25A","308.000","4.034","2.250","71.30"
"2250mAh 1s 1C 2.25A","309.000","4.034","2.250","71.40"
"2250mAh 1s 1C 2.25A","310.000","4.033","2.250","71.40"
"2250mAh 1s 1C 2.25A","311.000","4.033","2.250","71.50"
"2250mAh 1s 1C 2.25A","312.000","4.033","2.250","71.50"
"2250mAh 1s 1C 2.25A","313.000","4.033","2.250","71.40"
"2250mAh 1s 1C 2.25A","314.000","4.032","2.250","71.40"
"2250mAh 1s 1C 2.25A","315.000","4.032","2.250","71.40"
"2250mAh 1s 1C 2.25A","316.000","4.032","2.250","71.50"
"2250mAh 1s 1C 2.25A","317.000","4.032","2.250","71.50"
"2250mAh 1s 1C 2.25A","318.000","4.032","2.250","71.30"
"2250mAh 1s 1C 2.25A","319.000","4.030","2.250","71.40"
"2250mAh 1s 1C 2.25A","320.000","4.030","2.250","71.40"
"2250mAh 1s 1C 2.25A","321.000","4.030","2.250","71.50"
"2250mAh 1s 1C 2.25A","322.000","4.030","2.250","71.40"
"2250mAh 1s 1C 2.25A","323.000","4.030","2.250","71.50"
"2250mAh 1s 1C 2.25A","324.000","4.030","2.250","71.50"
"2250mAh 1s 1C 2.25A","325.000","4.029","2.250","71.50"
"2250mAh 1s 1C 2.25A","326.000","4.029","2.250","71.50"
"2250mAh 1s 1C 2.25A","327.000","4.029","2.250","71.40"
"2250mAh 1s 1C 2.25A","328.000","4.029","2.250","71.40"
"2250mAh 1s 1C 2.25A","329.000","4.029","2.250","71.50"
"2250mAh 1s 1C 2.25A","330.000","4.029","2.250","71.50"
"2250mAh 1s 1C 2.25A","331.000","4.028","2.250","71.40"
"2250mAh 1s 1C 2.25A","332.000","4.028","2.250","71.50"
"2250mAh 1s 1C 2.25A","333.000","4.028","2.250","71.50"
"2250mAh 1s 1C 2.25A","334.000","4.027","2.250","71.40"
"2250mAh 1s 1C 2.25A","335.000","4.028","2.250","71.40"
"2250mAh 1s 1C 2.25A","336.000","4.027","2.250","71.30"
"2250mAh 1s 1C 2.25A","337.000","4.027","2.250","71.30"
"2250mAh 1s 1C 2.25A","338.000","4.027","2.250","71.50"
"2250mAh 1s 1C 2.25A","339.000","4.027","2.250","71.50"
"2250mAh 1s 1C 2.25A","340.000","4.027","2.250","71.50"
"2250mAh 1s 1C 2.25A","341.000","4.025","2.250","71.40"
"2250mAh 1s 1C 2.25A","342.000","4.025","2.250","71.40"
"2250mAh 1s 1C 2.25A","343.000","4.025","2.250","71.40"
"2250mAh 1s 1C 2.25A","344.000","4.025","2.250","71.50"
"2250mAh 1s 1C 2.25A","345.000","4.025","2.250","71.50"
"2250mAh 1s 1C 2.25A","346.000","4.025","2.250","71.50"
"2250mAh 1s 1C 2.25A","347.000","4.025","2.250","71.50"
"2250mAh 1s 1C 2.25A","348.000","4.025","2.250","71.50"
"2250mAh 1s 1C 2.25A","349.000","4.025","2.250","71.50"
"2250mAh 1s 1C 2.25A","350.000","4.024","2.250","71.50"
"2250mAh 1s 1C 2.25A","351.000","4.024","2.250","71.50"
"2250mAh 1s 1C 2.25A","352.000","4.024","2.250","71.50"
"2250mAh 1s 1C 2.25A","353.000","4.024","2.250","71.50"
"2250mAh 1s 1C 2.25A","354.000","4.024","2.250","71.40"
"2250mAh 1s 1C 2.25A","355.000","4.023","2.250","71.50"
"2250mAh 1s 1C 2.25A","356.000","4.023","2.250","71.40"
"2250mAh 1s 1C 2.25A","357.000","4.023","2.250","71.50"
"2250mAh 1s 1C 2.25A","358.000","4.023","2.250","71.50"
"2250mAh 1s 1C 2.25A","359.000","4.023","2.250","71.40"
"2250mAh 1s 1C 2.25A","360.000","4.023","2.250","71.50"
"2250mAh 1s 1C 2.25A","361.000","4.022","2.250","71.50"
"2250mAh 1s 1C 2.25A","362.000","4.022","2.250","71.50"
"2250mAh 1s 1C 2.25A","363.000","4.022","2.250","71.40"
"2250mAh 1s 1C 2.25A","364.000","4.022","2.250","71.40"
"2250mAh 1s 1C 2.25A","365.000","4.022","2.250","71.50"
"2250mAh 1s 1C 2.25A","366.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","367.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","368.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","369.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","370.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","371.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","372.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","373.000","4.020","2.250","71.50"
"2250mAh 1s 1C 2.25A","374.000","4.020","2.250","71.40"
"2250mAh 1s 1C 2.25A","375.000","4.019","2.250","71.50"
"2250mAh 1s 1C 2.25A","376.000","4.019","2.250","71.50"
"2250mAh 1s 1C 2.25A","377.000","4.019","2.250","71.50"
"2250mAh 1s 1C 2.25A","378.000","4.019","2.250","71.50"
"2250mAh 1s 1C 2.25A","379.000","4.019","2.250","71.50"
"2250mAh 1s 1C 2.25A","380.000","4.019","2.250","71.50"
"2250mAh 1s 1C 2.25A","381.000","4.018","2.250","71.50"
"2250mAh 1s 1C 2.25A","382.000","4.018","2.250","71.50"
"2250mAh 1s 1C 2.25A","383.000","4.017","2.250","71.50"
"2250mAh 1s 1C 2.25A","384.000","4.017","2.250","71.50"
"2250mAh 1s 1C 2.25A","385.000","4.017","2.250","71.50"
"2250mAh 1s 1C 2.25A","386.000","4.018","2.250","71.50"
"2250mAh 1s 1C 2.25A","387.000","4.017","2.250","71.50"
"2250mAh 1s 1C 2.25A","388.000","4.015","2.250","71.50"
"2250mAh 1s 1C 2.25A","389.000","4.015","2.250","71.50"
"2250mAh 1s 1C 2.25A","390.000","4.017","2.250","71.50"
"2250mAh 1s 1C 2.25A","391.000","4.015","2.250","71.50"
