Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,4579,0.19,3.83,88.14,0.03,
0,25.0,5672,0.29,5.58,128.32,0.05,
0,30.0,6735,0.41,7.79,179.11,0.07,
0,35.0,7776,0.55,10.34,237.93,0.09,
0,40.0,8801,0.7,13.13,302.09,0.12,
0,45.0,9804,0.87,16.27,374.27,0.15,
0,50.0,10792,1.05,19.64,451.8,0.18,
0,55.00000000000001,11764,1.25,23.25,534.67,0.21,
0,60.0,12722,1.47,27.08,622.89,0.25,
0,65.0,13664,1.69,31.15,716.46,0.28,
0,70.0,14584,1.93,35.57,818.04,0.32,
0,75.0,15496,2.18,40.1,922.3,0.36,
0,80.0,16392,2.44,44.87,1031.91,0.41,
0,85.0,17267,2.71,49.98,1149.54,0.45,
0,90.0,18141,3.0,55.09,1267.17,0.5,
0,95.0,0,0.0,0.0,0,0,
0,100.0,0,0.0,0.0,0,0,
0,Max Thrust,,3.15,,,,
10,20.0,4546,0.13,4.33,99.7,0.04,
10,25.0,5591,0.23,6.82,156.93,0.06,
10,30.0,6629,0.35,9.41,216.54,0.09,
10,35.0,7647,0.48,12.32,283.37,0.11,
10,40.0,8658,0.63,15.34,352.88,0.14,
10,45.0,9645,0.79,18.71,430.41,0.17,
10,50.0,10618,0.97,22.32,513.28,0.2,
10,55.00000000000001,11575,1.17,26.15,601.5,0.24,
10,60.0,12517,1.37,30.22,695.07,0.27,
10,65.0,13452,1.59,34.4,791.31,0.31,
10,70.0,14364,1.82,38.94,895.57,0.35,
10,75.0,15261,2.07,43.7,1005.18,0.4,
10,80.0,16150,2.32,48.59,1117.46,0.44,
10,85.0,17025,2.59,53.7,1235.09,0.49,
10,90.0,0,0.0,0.0,0,0,
10,95.0,0,0.0,0.0,0,0,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,2.81,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,6779,0.18,7.11,163.63,0.06,
20,35.0,7732,0.32,11.01,253.26,0.1,
20,40.0,8674,0.47,15.09,347.01,0.14,
20,45.0,9607,0.63,19.29,443.78,0.18,
20,50.0,10535,0.81,23.6,542.69,0.21,
20,55.00000000000001,11454,1.0,28.01,644.28,0.25,
20,60.0,12366,1.2,32.55,748.54,0.3,
20,65.0,13263,1.42,37.31,858.14,0.34,
20,70.0,14160,1.65,42.08,967.75,0.38,
20,75.0,15034,1.88,47.19,1085.38,0.43,
20,80.0,15901,2.14,52.42,1205.68,0.48,
20,85.0,16760,2.4,57.77,1328.65,0.53,
20,90.0,0,0.0,0.0,0,0,
20,95.0,0,0.0,0.0,0,0,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,2.41,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,8151,0.07,4.58,105.27,0.04,
30,40.0,9052,0.21,9.28,213.48,0.08,
30,45.0,9934,0.36,14.28,328.52,0.13,
30,50.0,10799,0.54,19.53,449.12,0.18,
30,55.00000000000001,11651,0.73,24.99,574.77,0.23,
30,60.0,12495,0.93,30.57,703.09,0.28,
30,65.0,13339,1.15,36.15,831.41,0.33,
30,70.0,14175,1.37,41.84,962.4,0.38,
30,75.0,15004,1.61,47.66,1096.07,0.43,
30,80.0,15825,1.86,53.58,1232.41,0.49,
30,85.0,0,0.0,0.0,0,0,
30,90.0,0,0.0,0.0,0,0,
30,95.0,0,0.0,0.0,0,0,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,2.05,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,11345,0.23,11.14,256.16,0.1,
40,55.00000000000001,12168,0.4,17.04,391.91,0.16,
40,60.0,12976,0.59,23.18,533.03,0.21,
40,65.0,13762,0.8,29.64,681.7,0.27,
40,70.0,14546,1.02,36.15,831.41,0.33,
40,75.0,15322,1.25,42.77,983.79,0.39,
40,80.0,16082,1.5,49.63,1141.52,0.45,
40,85.0,16843,1.75,56.49,1299.25,0.51,
40,90.0,0,0.0,0.0,0,0,
40,95.0,0,0.0,0.0,0,0,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,1.81,,,,
