Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2410,0.12,1.45,33.28,0.03,
0,25.0,2992,0.17,2.11,48.44,0.04,
0,30.0,3557,0.25,3.01,69.28,0.05,
0,35.0,4115,0.33,4.01,92.32,0.07,
0,40.0,4670,0.42,5.07,116.53,0.09,
0,45.0,5216,0.52,6.25,143.81,0.11,
0,50.0,5757,0.64,7.5,172.57,0.13,
0,55.00000000000001,6284,0.76,8.95,205.76,0.16,
0,60.0,6812,0.89,10.39,238.94,0.18,
0,65.0,7326,1.03,12.02,276.55,0.21,
0,70.0,7841,1.18,13.66,314.16,0.24,
0,75.0,8342,1.34,15.49,356.2,0.27,
0,80.0,8842,1.5,17.31,398.24,0.3,
0,85.0,9337,1.68,19.24,442.48,0.34,
0,90.0,9818,1.86,21.35,491.16,0.37,
0,95.0,10299,2.04,23.47,539.83,0.41,
0,100.0,10780,2.24,25.59,588.51,0.45,
0,Max Thrust,,2.24,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,0,0.0,0.0,0,0,
10,30.0,3520,0.17,3.54,81.5,0.06,
10,35.0,4056,0.25,4.88,112.13,0.09,
10,40.0,4588,0.35,6.25,143.82,0.11,
10,45.0,5118,0.44,7.66,176.15,0.13,
10,50.0,5640,0.56,9.19,211.35,0.16,
10,55.00000000000001,6164,0.67,10.68,245.58,0.19,
10,60.0,6672,0.8,12.41,285.4,0.22,
10,65.0,7186,0.94,14.04,323.01,0.25,
10,70.0,7687,1.08,15.87,365.05,0.28,
10,75.0,8181,1.23,17.8,409.3,0.31,
10,80.0,8676,1.4,19.72,453.55,0.35,
10,85.0,9157,1.56,21.84,502.22,0.38,
10,90.0,9638,1.74,23.95,550.89,0.42,
10,95.0,10112,1.91,26.16,601.78,0.46,
10,100.0,10586,2.11,28.38,652.67,0.5,
10,Max Thrust,,2.11,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,0,0.0,0.0,0,0,
20,45.0,5260,0.22,5.61,129.04,0.1,
20,50.0,5739,0.33,7.75,178.28,0.14,
20,55.00000000000001,6217,0.45,9.91,227.93,0.17,
20,60.0,6690,0.58,12.15,279.49,0.21,
20,65.0,7159,0.71,14.43,331.96,0.25,
20,70.0,7627,0.86,16.74,384.96,0.29,
20,75.0,8101,1.01,18.95,435.85,0.33,
20,80.0,8562,1.17,21.35,491.16,0.37,
20,85.0,9030,1.33,23.66,544.26,0.41,
20,90.0,9484,1.51,26.16,601.78,0.46,
20,95.0,9945,1.68,28.57,657.09,0.5,
20,100.0,10400,1.87,31.07,714.61,0.54,
20,Max Thrust,,1.87,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,7046,0.24,7.01,161.32,0.12,
30,65.0,7481,0.37,9.79,225.17,0.17,
30,70.0,7917,0.5,12.56,288.81,0.22,
30,75.0,8345,0.65,15.43,354.9,0.27,
30,80.0,8768,0.8,18.39,422.86,0.32,
30,85.0,9190,0.97,21.35,491.16,0.37,
30,90.0,9611,1.14,24.34,559.74,0.43,
30,95.0,10032,1.31,27.32,628.33,0.48,
30,100.0,10446,1.5,30.4,699.13,0.53,
30,Max Thrust,,1.5,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,9259,0.38,11.3,260.0,0.2,
40,85.0,9659,0.53,14.58,335.43,0.26,
40,90.0,10055,0.68,17.94,412.58,0.31,
40,95.0,10442,0.86,21.4,492.2,0.37,
40,100.0,10833,1.03,24.82,570.81,0.43,
40,Max Thrust,,1.03,,,,
