Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2223,0.37,4.8,110.41,0.09,
0,25.0,2733,0.56,7.08,162.85,0.13,
0,30.0,3227,0.77,9.76,224.41,0.18,
0,35.0,3709,1.01,12.73,292.73,0.23,
0,40.0,4183,1.28,15.9,365.6,0.29,
0,45.0,4641,1.59,19.45,447.25,0.35,
0,50.0,5088,1.9,23.25,534.74,0.42,
0,55.00000000000001,5523,2.25,27.36,629.3,0.5,
0,60.0,5953,2.6,31.59,726.51,0.57,
0,65.0,6373,3.0,36.04,828.83,0.65,
0,70.0,6784,3.4,40.71,936.27,0.74,
0,75.0,7186,3.82,45.6,1048.83,0.83,
0,80.0,7579,4.26,50.72,1166.5,0.92,
0,85.0,7963,4.69,56.06,1289.29,1.02,
0,90.0,8337,5.17,61.62,1417.2,1.12,
0,95.0,8711,5.66,67.18,1545.1,1.22,
0,100.0,9076,6.14,72.96,1678.12,1.32,
0,Max Thrust,,6.14,,,,
10,20.0,2287,0.1,3.25,74.85,0.06,
10,25.0,2762,0.26,6.39,146.91,0.12,
10,30.0,3224,0.44,9.84,226.22,0.18,
10,35.0,3678,0.66,13.48,310.09,0.24,
10,40.0,4121,0.9,17.4,400.26,0.32,
10,45.0,4558,1.17,21.44,493.12,0.39,
10,50.0,4991,1.45,25.59,588.66,0.46,
10,55.00000000000001,5403,1.77,30.25,695.81,0.55,
10,60.0,5814,2.09,34.92,803.25,0.63,
10,65.0,6225,2.45,39.6,910.69,0.72,
10,70.0,6618,2.82,44.71,1028.36,0.81,
10,75.0,7011,3.19,49.83,1146.04,0.9,
10,80.0,7385,3.6,55.39,1273.94,1.0,
10,85.0,7768,4.02,60.73,1396.73,1.1,
10,90.0,8133,4.45,66.51,1529.75,1.21,
10,95.0,8498,4.91,72.29,1662.78,1.31,
10,100.0,8854,5.36,78.3,1800.91,1.42,
10,Max Thrust,,5.36,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,4039,0.08,4.81,110.65,0.09,
20,40.0,4440,0.3,9.72,223.63,0.18,
20,45.0,4843,0.52,14.6,335.79,0.26,
20,50.0,5232,0.78,19.81,455.52,0.36,
20,55.00000000000001,5611,1.06,25.26,580.87,0.46,
20,60.0,5990,1.34,30.69,705.81,0.56,
20,65.0,6351,1.68,36.56,840.94,0.66,
20,70.0,6719,2.02,42.28,972.45,0.77,
20,75.0,7075,2.36,48.27,1110.22,0.88,
20,80.0,7431,2.75,54.28,1248.36,0.98,
20,85.0,7778,3.13,60.51,1391.62,1.1,
20,90.0,8124,3.52,66.73,1534.87,1.21,
20,95.0,8461,3.95,73.18,1683.24,1.33,
20,100.0,8798,4.37,79.64,1831.61,1.44,
20,Max Thrust,,4.37,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,6168,0.26,11.85,272.51,0.21,
30,60.0,6515,0.53,18.06,415.44,0.33,
30,65.0,6863,0.8,24.26,558.04,0.44,
30,70.0,7197,1.1,30.8,708.33,0.56,
30,75.0,7526,1.44,37.43,860.93,0.68,
30,80.0,7848,1.76,44.25,1017.76,0.8,
30,85.0,8169,2.12,51.1,1175.31,0.93,
30,90.0,8476,2.49,58.28,1340.45,1.06,
30,95.0,8794,2.88,65.18,1499.06,1.18,
30,100.0,9095,3.26,72.52,1667.89,1.32,
30,Max Thrust,,3.26,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,8237,0.48,20.35,468.16,0.37,
40,80.0,8542,0.79,27.58,634.39,0.5,
40,85.0,8846,1.1,34.82,800.83,0.63,
40,90.0,9139,1.43,42.33,973.63,0.77,
40,95.0,9426,1.8,49.99,1149.74,0.91,
40,100.0,9705,2.15,57.83,1330.12,1.05,
40,Max Thrust,,2.15,,,,
