Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,4454,0.33,5.75,132.21,0.05,
0,25.0,5483,0.49,8.48,195.15,0.08,
0,30.0,6478,0.69,11.74,270.01,0.11,
0,35.0,7443,0.91,15.46,355.56,0.14,
0,40.0,8393,1.16,19.41,446.45,0.18,
0,45.0,9312,1.43,23.83,548.04,0.22,
0,50.0,10209,1.72,28.59,657.64,0.26,
0,55.00000000000001,11091,2.03,33.59,772.6,0.31,
0,60.0,11950,2.37,38.94,895.57,0.35,
0,65.0,12779,2.72,44.75,1029.24,0.41,
0,70.0,13600,3.1,50.68,1165.58,0.46,
0,75.0,14399,3.49,56.95,1309.94,0.52,
0,80.0,0,0.0,0.0,0,0,
0,85.0,0,0.0,0.0,0,0,
0,90.0,0,0.0,0.0,0,0,
0,95.0,0,0.0,0.0,0,0,
0,100.0,0,0.0,0.0,0,0,
0,Max Thrust,,3.55,,,,
10,20.0,4528,0.14,4.62,106.15,0.04,
10,25.0,5517,0.28,7.96,183.06,0.07,
10,30.0,6482,0.45,11.68,268.67,0.11,
10,35.0,7420,0.65,15.81,363.58,0.14,
10,40.0,8340,0.87,20.22,465.16,0.18,
10,45.0,9244,1.12,24.87,572.1,0.23,
10,50.0,10119,1.38,29.99,689.72,0.27,
10,55.00000000000001,10985,1.68,35.22,810.02,0.32,
10,60.0,11822,1.99,40.91,941.02,0.37,
10,65.0,12643,2.32,46.84,1077.36,0.43,
10,70.0,13441,2.66,53.12,1221.72,0.48,
10,75.0,0,0.0,0.0,0,0,
10,80.0,0,0.0,0.0,0,0,
10,85.0,0,0.0,0.0,0,0,
10,90.0,0,0.0,0.0,0,0,
10,95.0,0,0.0,0.0,0,0,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,2.93,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,7801,0.26,9.95,228.87,0.09,
20,40.0,8677,0.45,15.05,346.15,0.14,
20,45.0,9532,0.68,20.46,470.51,0.19,
20,50.0,10368,0.92,26.15,601.5,0.24,
20,55.00000000000001,11189,1.19,32.08,737.84,0.29,
20,60.0,11996,1.47,38.24,879.53,0.35,
20,65.0,12787,1.78,44.63,1026.57,0.41,
20,70.0,13555,2.11,51.37,1181.62,0.47,
20,75.0,0,0.0,0.0,0,0,
20,80.0,0,0.0,0.0,0,0,
20,85.0,0,0.0,0.0,0,0,
20,90.0,0,0.0,0.0,0,0,
20,95.0,0,0.0,0.0,0,0,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,2.43,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,10211,0.17,10.02,230.45,0.09,
30,50.0,11020,0.38,16.13,370.95,0.15,
30,55.00000000000001,11806,0.62,22.61,519.93,0.21,
30,60.0,12570,0.88,29.41,676.36,0.27,
30,65.0,13324,1.16,36.38,836.76,0.33,
30,70.0,14069,1.46,43.47,999.83,0.4,
30,75.0,14785,1.78,51.03,1173.6,0.46,
30,80.0,0,0.0,0.0,0,0,
30,85.0,0,0.0,0.0,0,0,
30,90.0,0,0.0,0.0,0,0,
30,95.0,0,0.0,0.0,0,0,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,2.09,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,13476,0.26,15.49,356.33,0.14,
40,65.0,14203,0.51,22.87,526.07,0.21,
40,70.0,14916,0.78,30.45,700.42,0.28,
40,75.0,15609,1.07,38.36,882.2,0.35,
40,80.0,16287,1.38,46.49,1069.34,0.42,
40,85.0,16957,1.71,54.75,1259.15,0.5,
40,90.0,0,0.0,0.0,0,0,
40,95.0,0,0.0,0.0,0,0,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,1.84,,,,
