Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,0,0.0,0.0,0,0,
0,25.0,2247,1.16,18.77,431.61,0.34,
0,30.0,2599,1.55,24.86,571.89,0.45,
0,35.0,2951,1.95,30.96,711.97,0.56,
0,40.0,3260,2.41,38.09,876.17,0.69,
0,45.0,3563,2.88,45.37,1043.58,0.82,
0,50.0,3869,3.37,52.56,1208.78,0.95,
0,55.00000000000001,4153,3.89,60.28,1386.5,1.09,
0,60.0,4417,4.42,68.51,1575.8,1.24,
0,65.0,4680,4.96,76.74,1765.1,1.39,
0,70.0,4943,5.5,84.97,1954.4,1.54,
0,75.0,5188,6.09,93.65,2153.93,1.7,
0,80.0,5423,6.69,102.55,2358.58,1.86,
0,85.0,0,0.0,0.0,0,0,
0,90.0,0,0.0,0.0,0,0,
0,95.0,0,0.0,0.0,0,0,
0,100.0,0,0.0,0.0,0,0,
0,Max Thrust,,7.26,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,2278,0.61,18.02,414.52,0.33,
10,30.0,2583,0.93,25.26,580.93,0.46,
10,35.0,2888,1.24,32.47,746.7,0.59,
10,40.0,3174,1.62,40.15,923.44,0.73,
10,45.0,3452,2.03,48.03,1104.75,0.87,
10,50.0,3723,2.44,56.07,1289.67,1.02,
10,55.00000000000001,3996,2.85,64.06,1473.47,1.16,
10,60.0,4241,3.33,72.74,1673.01,1.32,
10,65.0,4495,3.82,81.19,1867.42,1.47,
10,70.0,4739,4.3,89.87,2066.96,1.63,
10,75.0,4984,4.78,98.54,2266.49,1.79,
10,80.0,5201,5.31,107.89,2481.37,1.96,
10,85.0,0,0.0,0.0,0,0,
10,90.0,0,0.0,0.0,0,0,
10,95.0,0,0.0,0.0,0,0,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,5.51,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,3124,0.21,12.24,281.41,0.22,
20,35.0,3365,0.52,21.01,483.2,0.38,
20,40.0,3606,0.82,29.77,684.63,0.54,
20,45.0,3845,1.12,38.6,887.69,0.7,
20,50.0,4078,1.47,47.55,1093.55,0.86,
20,55.00000000000001,4284,1.85,57.14,1314.33,1.04,
20,60.0,4496,2.25,66.6,1531.72,1.21,
20,65.0,4717,2.66,75.85,1744.64,1.38,
20,70.0,4924,3.05,85.42,1964.63,1.55,
20,75.0,5123,3.48,95.21,2189.75,1.73,
20,80.0,5321,3.96,104.99,2414.86,1.9,
20,85.0,0,0.0,0.0,0,0,
20,90.0,0,0.0,0.0,0,0,
20,95.0,0,0.0,0.0,0,0,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,4.26,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,5173,1.28,50.34,1157.81,0.91,
30,65.0,5345,1.65,60.74,1397.11,1.1,
30,70.0,5523,2.03,71.04,1633.86,1.29,
30,75.0,5696,2.39,81.44,1873.11,1.48,
30,80.0,5876,2.78,91.65,2107.89,1.66,
30,85.0,6047,3.17,102.1,2348.35,1.85,
30,90.0,0,0.0,0.0,0,0,
30,95.0,0,0.0,0.0,0,0,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,3.55,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,6061,0.37,28.99,666.67,0.53,
40,65.0,6214,0.72,39.87,916.92,0.72,
40,70.0,6367,1.07,50.73,1166.81,0.92,
40,75.0,6519,1.41,61.64,1417.81,1.12,
40,80.0,6673,1.77,72.51,1667.65,1.31,
40,85.0,6826,2.12,83.37,1917.61,1.51,
40,90.0,6986,2.48,94.09,2164.17,1.71,
40,95.0,7119,2.88,105.44,2425.09,1.91,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,3.1,,,,
