Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,5953,0.15,2.75,63.25,0.02,
0,25.0,7371,0.24,4.0,91.95,0.03,
0,30.0,8761,0.33,5.47,125.83,0.04,
0,35.0,10098,0.44,7.36,169.39,0.05,
0,40.0,11426,0.57,9.33,214.56,0.07,
0,45.0,12728,0.71,11.5,264.57,0.08,
0,50.0,14012,0.86,13.82,317.81,0.1,
0,55.00000000000001,15262,1.02,16.41,377.49,0.11,
0,60.0,16493,1.2,19.15,440.41,0.13,
0,65.0,17698,1.39,22.09,508.17,0.15,
0,70.0,18877,1.58,25.25,580.76,0.18,
0,75.0,20048,1.79,28.48,654.97,0.2,
0,80.0,21191,2.02,31.91,734.02,0.22,
0,85.0,0,0.0,0.0,0,0,
0,90.0,0,0.0,0.0,0,0,
0,95.0,0,0.0,0.0,0,0,
0,100.0,0,0.0,0.0,0,0,
0,Max Thrust,,2.2,,,,
10,20.0,6071,0.05,1.81,41.53,0.01,
10,25.0,7457,0.12,3.31,76.08,0.02,
10,30.0,8813,0.2,5.05,116.15,0.04,
10,35.0,10150,0.3,6.94,159.71,0.05,
10,40.0,11452,0.41,9.12,209.72,0.06,
10,45.0,12728,0.53,11.5,264.57,0.08,
10,50.0,13995,0.67,13.96,321.03,0.1,
10,55.00000000000001,15235,0.82,16.62,382.33,0.12,
10,60.0,16449,0.99,19.5,448.48,0.14,
10,65.0,17646,1.16,22.52,517.85,0.16,
10,70.0,18816,1.35,25.74,592.05,0.18,
10,75.0,19969,1.54,29.11,669.49,0.2,
10,80.0,21104,1.75,32.62,750.15,0.23,
10,85.0,0,0.0,0.0,0,0,
10,90.0,0,0.0,0.0,0,0,
10,95.0,0,0.0,0.0,0,0,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,1.88,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,10570,0.07,3.59,82.59,0.03,
20,40.0,11851,0.17,5.94,136.52,0.04,
20,45.0,13108,0.28,8.47,194.82,0.06,
20,50.0,14337,0.4,11.22,258.12,0.08,
20,55.00000000000001,15551,0.54,14.1,324.26,0.1,
20,60.0,16730,0.69,17.25,396.85,0.12,
20,65.0,17901,0.85,20.48,471.06,0.14,
20,70.0,19053,1.03,23.85,548.5,0.17,
20,75.0,20179,1.21,27.42,630.77,0.19,
20,80.0,21288,1.41,31.14,716.27,0.22,
20,85.0,22379,1.61,35.0,805.0,0.24,
20,90.0,0,0.0,0.0,0,0,
20,95.0,0,0.0,0.0,0,0,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,1.6,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,15054,0.08,5.5,126.6,0.04,
30,55.00000000000001,16249,0.21,8.53,196.13,0.06,
30,60.0,17410,0.34,11.83,272.09,0.08,
30,65.0,18551,0.49,15.29,351.68,0.11,
30,70.0,19677,0.65,18.87,433.96,0.13,
30,75.0,20777,0.82,22.66,521.07,0.16,
30,80.0,21868,1.0,26.51,609.8,0.18,
30,85.0,22933,1.19,30.58,703.37,0.21,
30,90.0,23980,1.4,34.79,800.16,0.24,
30,95.0,0,0.0,0.0,0,0,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,1.4,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,19541,0.09,7.39,169.93,0.05,
40,70.0,20651,0.23,11.09,255.08,0.08,
40,75.0,21734,0.38,15.01,345.23,0.1,
40,80.0,22799,0.55,19.08,438.8,0.13,
40,85.0,23846,0.73,23.29,535.59,0.16,
40,90.0,24867,0.92,27.71,637.22,0.19,
40,95.0,25883,1.12,32.17,739.84,0.22,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,1.24,,,,
