Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2215,0.41,4.98,114.62,0.09,
0,25.0,2723,0.61,7.33,168.54,0.13,
0,30.0,3218,0.85,9.99,229.84,0.18,
0,35.0,3696,1.12,13.05,300.17,0.24,
0,40.0,4166,1.41,16.31,375.05,0.3,
0,45.0,4613,1.74,20.11,462.54,0.36,
0,50.0,5064,2.09,23.84,548.22,0.43,
0,55.00000000000001,5495,2.48,28.03,644.65,0.51,
0,60.0,5916,2.86,32.48,746.97,0.59,
0,65.0,6327,3.29,37.15,854.41,0.67,
0,70.0,6738,3.74,41.82,961.85,0.76,
0,75.0,7131,4.19,46.94,1079.53,0.85,
0,80.0,7514,4.68,52.27,1202.31,0.95,
0,85.0,7898,5.17,57.61,1325.1,1.04,
0,90.0,8263,5.69,63.4,1458.13,1.15,
0,95.0,8628,6.23,69.18,1591.15,1.25,
0,100.0,8993,6.77,74.96,1724.17,1.36,
0,Max Thrust,,6.77,,,,
10,20.0,0,0.0,0.0,0,0,
10,25.0,0,0.0,0.0,0,0,
10,30.0,3292,0.36,8.21,188.77,0.15,
10,35.0,3747,0.58,11.82,271.8,0.21,
10,40.0,4194,0.83,15.64,359.69,0.28,
10,45.0,4630,1.11,19.71,453.35,0.36,
10,50.0,5057,1.4,23.99,551.85,0.44,
10,55.00000000000001,5473,1.75,28.57,657.16,0.52,
10,60.0,5882,2.09,33.3,765.86,0.6,
10,65.0,6281,2.47,38.26,879.99,0.69,
10,70.0,6673,2.86,43.38,997.67,0.79,
10,75.0,7066,3.27,48.49,1115.34,0.88,
10,80.0,7440,3.72,54.05,1243.24,0.98,
10,85.0,7815,4.16,59.62,1371.15,1.08,
10,90.0,8180,4.63,65.4,1504.17,1.19,
10,95.0,8526,5.12,71.63,1647.43,1.3,
10,100.0,8882,5.61,77.63,1785.57,1.41,
10,Max Thrust,,5.61,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,0,0.0,0.0,0,0,
20,40.0,0,0.0,0.0,0,0,
20,45.0,5045,0.24,9.73,223.89,0.18,
20,50.0,5440,0.51,14.8,340.35,0.27,
20,55.00000000000001,5832,0.78,19.93,458.3,0.36,
20,60.0,6213,1.09,25.33,582.67,0.46,
20,65.0,6589,1.42,30.86,709.69,0.56,
20,70.0,6958,1.75,36.52,840.05,0.66,
20,75.0,7316,2.14,42.49,977.27,0.77,
20,80.0,7672,2.53,48.49,1115.34,0.88,
20,85.0,8027,2.93,54.5,1253.48,0.99,
20,90.0,8365,3.36,60.95,1401.85,1.11,
20,95.0,8702,3.8,67.4,1550.22,1.22,
20,100.0,9039,4.25,73.85,1698.59,1.34,
20,Max Thrust,,4.25,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,0,0.0,0.0,0,0,
30,55.00000000000001,0,0.0,0.0,0,0,
30,60.0,0,0.0,0.0,0,0,
30,65.0,7252,0.31,14.92,343.1,0.27,
30,70.0,7598,0.61,21.14,486.32,0.38,
30,75.0,7948,0.91,27.3,627.89,0.5,
30,80.0,8277,1.27,33.94,780.59,0.62,
30,85.0,8604,1.63,40.63,934.48,0.74,
30,90.0,8930,2.0,47.35,1088.97,0.86,
30,95.0,9239,2.4,54.48,1253.06,0.99,
30,100.0,9548,2.82,61.62,1417.2,1.12,
30,Max Thrust,,2.82,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,0,0.0,0.0,0,0,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,0,0.0,0.0,0,0,
40,85.0,0,0.0,0.0,0,0,
40,90.0,0,0.0,0.0,0,0,
40,95.0,10081,0.99,34.24,787.41,0.62,
40,100.0,10372,1.39,41.8,961.41,0.76,
40,Max Thrust,,1.39,,,,
