Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,5789,0.18,4.06,93.29,0.03,
0,25.0,7125,0.27,5.96,137.12,0.04,
0,30.0,8409,0.38,8.28,190.36,0.06,
0,35.0,9667,0.5,10.8,248.44,0.08,
0,40.0,10881,0.63,13.68,314.58,0.1,
0,45.0,12069,0.77,16.76,385.56,0.12,
0,50.0,13239,0.93,19.99,459.77,0.14,
0,55.00000000000001,14374,1.1,23.5,540.43,0.16,
0,60.0,15474,1.28,27.28,627.55,0.19,
0,65.0,16556,1.47,31.21,717.89,0.22,
0,70.0,0,0.0,0.0,0,0,
0,75.0,0,0.0,0.0,0,0,
0,80.0,0,0.0,0.0,0,0,
0,85.0,0,0.0,0.0,0,0,
0,90.0,0,0.0,0.0,0,0,
0,95.0,0,0.0,0.0,0,0,
0,100.0,0,0.0,0.0,0,0,
0,Max Thrust,,1.64,,,,
10,20.0,5696,0.13,4.8,110.41,0.03,
10,25.0,6975,0.22,7.15,164.55,0.05,
10,30.0,8216,0.32,9.82,225.85,0.07,
10,35.0,9439,0.44,12.63,290.38,0.09,
10,40.0,10635,0.57,15.64,359.75,0.11,
10,45.0,11805,0.71,18.87,433.96,0.13,
10,50.0,12940,0.86,22.37,514.62,0.16,
10,55.00000000000001,14067,1.02,25.95,596.89,0.18,
10,60.0,15149,1.19,29.88,687.23,0.21,
10,65.0,16222,1.37,33.88,779.19,0.24,
10,70.0,0,0.0,0.0,0,0,
10,75.0,0,0.0,0.0,0,0,
10,80.0,0,0.0,0.0,0,0,
10,85.0,0,0.0,0.0,0,0,
10,90.0,0,0.0,0.0,0,0,
10,95.0,0,0.0,0.0,0,0,
10,100.0,0,0.0,0.0,0,0,
10,Max Thrust,,1.41,,,,
20,20.0,6089,0.02,1.66,38.17,0.01,
20,25.0,7264,0.1,4.85,111.57,0.03,
20,30.0,8396,0.2,8.38,192.73,0.06,
20,35.0,9509,0.32,12.06,277.47,0.08,
20,40.0,10600,0.44,15.92,366.2,0.11,
20,45.0,11691,0.58,19.78,454.93,0.14,
20,50.0,12765,0.73,23.78,546.88,0.17,
20,55.00000000000001,13821,0.88,27.92,642.06,0.19,
20,60.0,14868,1.05,32.12,738.86,0.22,
20,65.0,0,0.0,0.0,0,0,
20,70.0,0,0.0,0.0,0,0,
20,75.0,0,0.0,0.0,0,0,
20,80.0,0,0.0,0.0,0,0,
20,85.0,0,0.0,0.0,0,0,
20,90.0,0,0.0,0.0,0,0,
20,95.0,0,0.0,0.0,0,0,
20,100.0,0,0.0,0.0,0,0,
20,Max Thrust,,1.16,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,9052,0.03,3.15,72.35,0.02,
30,35.0,10101,0.13,7.34,168.74,0.05,
30,40.0,11125,0.26,11.73,269.82,0.08,
30,45.0,12122,0.39,16.34,375.88,0.11,
30,50.0,13090,0.53,21.18,487.19,0.15,
30,55.00000000000001,14049,0.69,26.09,600.12,0.18,
30,60.0,15008,0.85,31.0,713.05,0.22,
30,65.0,0,0.0,0.0,0,0,
30,70.0,0,0.0,0.0,0,0,
30,75.0,0,0.0,0.0,0,0,
30,80.0,0,0.0,0.0,0,0,
30,85.0,0,0.0,0.0,0,0,
30,90.0,0,0.0,0.0,0,0,
30,95.0,0,0.0,0.0,0,0,
30,100.0,0,0.0,0.0,0,0,
30,Max Thrust,,0.98,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,12939,0.17,9.82,225.85,0.07,
40,50.0,13868,0.3,14.97,344.34,0.1,
40,55.00000000000001,14770,0.45,20.34,467.84,0.14,
40,60.0,15641,0.6,25.95,596.89,0.18,
40,65.0,16512,0.77,31.56,725.95,0.22,
40,70.0,0,0.0,0.0,0,0,
40,75.0,0,0.0,0.0,0,0,
40,80.0,0,0.0,0.0,0,0,
40,85.0,0,0.0,0.0,0,0,
40,90.0,0,0.0,0.0,0,0,
40,95.0,0,0.0,0.0,0,0,
40,100.0,0,0.0,0.0,0,0,
40,Max Thrust,,0.87,,,,
