Speed (m/s),Throttle (%),RPM,Thrust (kg),Current (A),Power (W),Torque (Nm),Note
0,20.0,2414,0.34,4.79,110.23,0.08,
0,25.0,2968,0.5,6.91,159.02,0.11,
0,30.0,3494,0.71,9.54,219.39,0.16,
0,35.0,4013,0.91,12.31,283.21,0.2,
0,40.0,4508,1.17,15.51,356.74,0.25,
0,45.0,5001,1.42,18.76,431.41,0.31,
0,50.0,5468,1.72,22.48,517.15,0.37,
0,55.00000000000001,5933,2.01,26.23,603.35,0.43,
0,60.0,6381,2.34,30.32,697.37,0.5,
0,65.0,6819,2.67,34.58,795.32,0.57,
0,70.0,7248,3.02,39.01,897.18,0.64,
0,75.0,7668,3.39,43.61,1002.97,0.72,
0,80.0,8087,3.76,48.21,1108.75,0.79,
0,85.0,8479,4.16,53.32,1226.28,0.88,
0,90.0,8881,4.56,58.26,1339.9,0.96,
0,95.0,9264,4.97,63.54,1461.35,1.04,
0,100.0,9646,5.4,68.82,1582.81,1.13,
0,Max Thrust,,5.4,,,,
10,20.0,2468,0.13,3.79,87.26,0.06,
10,25.0,2976,0.26,6.76,155.59,0.11,
10,30.0,3458,0.44,10.21,234.82,0.17,
10,35.0,3937,0.63,13.7,315.19,0.23,
10,40.0,4407,0.86,17.37,399.55,0.29,
10,45.0,4872,1.09,21.14,486.19,0.35,
10,50.0,5320,1.35,25.21,579.84,0.41,
10,55.00000000000001,5758,1.62,29.47,677.79,0.48,
10,60.0,6197,1.92,33.73,775.73,0.55,
10,65.0,6616,2.22,38.33,881.51,0.63,
10,70.0,7036,2.54,42.93,987.29,0.71,
10,75.0,7437,2.88,47.87,1100.91,0.79,
10,80.0,7848,3.23,52.64,1210.61,0.86,
10,85.0,8231,3.59,57.92,1332.06,0.95,
10,90.0,8623,3.98,63.03,1449.6,1.04,
10,95.0,8997,4.34,68.48,1574.97,1.13,
10,100.0,9370,4.76,73.93,1700.34,1.21,
10,Max Thrust,,4.76,,,,
20,20.0,0,0.0,0.0,0,0,
20,25.0,0,0.0,0.0,0,0,
20,30.0,0,0.0,0.0,0,0,
20,35.0,4310,0.17,6.81,156.7,0.11,
20,40.0,4734,0.36,11.33,260.64,0.19,
20,45.0,5147,0.56,16.06,369.4,0.26,
20,50.0,5543,0.8,21.09,485.08,0.35,
20,55.00000000000001,5941,1.04,26.1,600.19,0.43,
20,60.0,6328,1.32,31.3,719.88,0.51,
20,65.0,6708,1.6,36.62,842.33,0.6,
20,70.0,7082,1.88,42.07,967.71,0.69,
20,75.0,7456,2.21,47.53,1093.08,0.78,
20,80.0,7829,2.53,52.98,1218.45,0.87,
20,85.0,8185,2.86,58.77,1351.65,0.97,
20,90.0,8540,3.21,64.56,1484.86,1.06,
20,95.0,8905,3.57,70.18,1614.15,1.15,
20,100.0,9251,3.94,76.14,1751.27,1.25,
20,Max Thrust,,3.94,,,,
30,20.0,0,0.0,0.0,0,0,
30,25.0,0,0.0,0.0,0,0,
30,30.0,0,0.0,0.0,0,0,
30,35.0,0,0.0,0.0,0,0,
30,40.0,0,0.0,0.0,0,0,
30,45.0,0,0.0,0.0,0,0,
30,50.0,6164,0.18,9.6,220.71,0.16,
30,55.00000000000001,6525,0.41,15.28,351.46,0.25,
30,60.0,6886,0.63,20.97,482.24,0.34,
30,65.0,7233,0.89,26.91,618.9,0.44,
30,70.0,7574,1.16,32.98,758.48,0.54,
30,75.0,7911,1.44,39.1,899.22,0.64,
30,80.0,8235,1.74,45.48,1046.06,0.75,
30,85.0,8562,2.05,51.78,1191.02,0.85,
30,90.0,8881,2.36,58.26,1339.9,0.96,
30,95.0,9199,2.7,64.73,1488.78,1.06,
30,100.0,9508,3.05,71.37,1641.57,1.17,
30,Max Thrust,,3.05,,,,
40,20.0,0,0.0,0.0,0,0,
40,25.0,0,0.0,0.0,0,0,
40,30.0,0,0.0,0.0,0,0,
40,35.0,0,0.0,0.0,0,0,
40,40.0,0,0.0,0.0,0,0,
40,45.0,0,0.0,0.0,0,0,
40,50.0,0,0.0,0.0,0,0,
40,55.00000000000001,0,0.0,0.0,0,0,
40,60.0,0,0.0,0.0,0,0,
40,65.0,8030,0.17,12.16,279.76,0.2,
40,70.0,8345,0.43,18.7,430.2,0.31,
40,75.0,8657,0.68,25.3,581.8,0.42,
40,80.0,8971,0.93,31.85,732.54,0.52,
40,85.0,9266,1.23,38.76,891.43,0.64,
40,90.0,9558,1.52,45.72,1051.5,0.75,
40,95.0,9853,1.82,52.64,1210.61,0.86,
40,100.0,10134,2.14,59.79,1375.16,0.98,
40,Max Thrust,,2.14,,,,
