RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.044,0.0,0.1352143698408733
1000.0,0.045,0.25481279999999995,0.13460254011308653
1000.0,0.046,0.5051551999999999,0.13388873876400198
1000.0,0.048,0.759968,0.13307296579361963
1000.0,0.049,1.0147808,0.1320532495806417
1000.0,0.05,1.2651232000000001,0.1308295901250682
1000.0,0.051,1.519936,0.1294019874268991
1000.0,0.053,1.7702784,0.1277704414861344
1000.0,0.054,2.0250912,0.12562903743888076
1000.0,0.055,2.2799039999999997,0.12328369014903154
1000.0,0.056,2.5302464000000002,0.12032651313139553
1000.0,0.056,2.7850592,0.11696144962856837
1000.0,0.056,3.039872,0.11308652801925224
1000.0,0.056,3.2902144,0.10870174830344716
1000.0,0.056,3.5450272,0.1037051388598553
1000.0,0.055,3.7953696,0.09840261455237008
1000.0,0.054,4.0501824,0.09259023213839589
1000.0,0.052,4.3049952000000005,0.08647193486052832
1000.0,0.051,4.5553376,0.08004772271876738
1000.0,0.049,4.8101503999999995,0.07331759571311304
1000.0,0.046,5.0649632,0.06648549708616093
1000.0,0.044,5.3153056,0.05934748359531542
1000.0,0.041,5.5701184,0.052209470104469934
1000.0,0.038,5.8249312,0.044867513371028844
1000.0,0.034,6.0752736,0.037423585016289965
1000.0,0.031,6.3300864,0.029979656661551092
1000.0,0.027,6.5804288,0.022433756685514422
1000.0,0.023,6.8352416,0.014887856709477752
1000.0,0.019,7.0900544,0.007443928354738876
1000.0,0.014,7.340396800000001,0.0
2000.0,0.158,0.0,0.5426929685468534
2000.0,0.163,0.514096,0.540449592878302
2000.0,0.168,1.0326624,0.5376963591032615
2000.0,0.173,1.5467583999999999,0.5344332672217322
2000.0,0.178,2.0608544,0.5305583456124161
2000.0,0.184,2.5794208,0.5257656794114198
2000.0,0.189,3.0935167999999997,0.5200552686187434
2000.0,0.194,3.6076128,0.5131211983704935
2000.0,0.199,4.1261792,0.5047595254240745
2000.0,0.203,4.6402752000000005,0.49466433491559303
2000.0,0.207,5.1543712,0.4827336552237513
2000.0,0.209,5.6729376,0.4687635431059537
2000.0,0.21,6.1870335999999995,0.4526520269409024
2000.0,0.21,6.7011296,0.43419516348600184
2000.0,0.208,7.2152256,0.41369886760514557
2000.0,0.205,7.733792,0.3912651109196311
2000.0,0.2,8.247888,0.36730177991464974
2000.0,0.194,8.761984,0.34191084621149936
2000.0,0.187,9.280550400000001,0.31539822467407325
2000.0,0.178,9.7946464,0.2879678585449669
2000.0,0.168,10.3087424,0.25972171944547834
2000.0,0.157,10.827308799999999,0.23076177899690517
2000.0,0.145,11.3414048,0.20129198044184304
2000.0,0.132,11.8555008,0.17141429540158976
2000.0,0.117,12.374067199999999,0.14112872387614528
2000.0,0.102,12.8881632,0.11074118072940302
2000.0,0.086,13.4022592,0.08014969434006516
2000.0,0.068,13.9208256,0.0497621511933229
2000.0,0.05,14.4349216,0.01947657966787843
2000.0,,14.9490176,
3000.0,0.34,0.0,1.2240673420587052
3000.0,0.35,0.7733791999999999,1.219172704236411
3000.0,0.362,1.542288,1.2133603218224367
3000.0,0.373,2.3156672,1.2063242799528893
3000.0,0.385,3.084576,1.1978606353851724
3000.0,0.398,3.8579552,1.1875615016340955
3000.0,0.41,4.626863999999999,1.1751209638357645
3000.0,0.422,5.4002432,1.1599271922623935
3000.0,0.433,6.169152,1.141470328807493
3000.0,0.443,6.9425311999999995,1.1194444586071697
3000.0,0.451,7.71144,1.0931357803123392
3000.0,0.457,8.4848192,1.0621364074378101
3000.0,0.46,9.2581984,1.0261404251196893
3000.0,0.459,10.0271072,0.9850458617366787
3000.0,0.456,10.8004864,0.9392606037739698
3000.0,0.449,11.569395199999999,0.8890905660954557
3000.0,0.439,12.3427744,0.8353515216715189
3000.0,0.426,13.1116832,0.7784513569873505
3000.0,0.41,13.885062399999999,0.7188999301494394
3000.0,0.391,14.6539712,0.6572070992642748
3000.0,0.369,15.427350399999998,0.5936787791957499
3000.0,0.344,16.1962592,0.528620884807758
3000.0,0.317,16.9696384,0.46233933096419266
3000.0,0.287,17.743017599999998,0.3951400325289472
3000.0,0.254,18.511926399999997,0.3271249611233194
3000.0,0.219,19.2853056,0.2587020032325004
3000.0,0.182,20.0542144,0.19007510209908585
3000.0,0.143,20.8275936,0.12155017258696905
3000.0,0.101,21.596502400000002,0.053535101181341235
3000.0,0.057,22.3698816,-0.015601658058562303
4000.0,0.589,0.0,2.181274951181086
4000.0,0.608,1.0237216,2.173117221477263
4000.0,0.628,2.0474432,2.163327945832675
4000.0,0.649,3.0711648,2.1516012093834287
4000.0,0.67,4.090416,2.137325182401738
4000.0,0.692,5.114137599999999,2.1198880351598155
4000.0,0.715,6.1378592,2.098575966308576
4000.0,0.736,7.161580799999999,2.072675174498937
4000.0,0.756,8.1853024,2.0411659435179192
4000.0,0.774,9.209024000000001,2.003130528773842
4000.0,0.789,10.2327456,1.957549214053729
4000.0,0.8,11.2519968,1.9037081980084944
4000.0,0.807,12.2757184,1.8409956509103516
4000.0,0.807,13.29944,1.7692076295167058
4000.0,0.802,14.323161599999999,1.688853991934045
4000.0,0.791,15.346883199999999,1.6007505111327518
4000.0,0.774,16.3706048,1.5059169033258046
4000.0,0.752,17.394326399999997,1.4054748563474786
4000.0,0.724,18.4135776,1.3001381715468585
4000.0,0.69,19.437299199999998,1.1909265651369225
4000.0,0.652,20.4610208,1.078349895224159
4000.0,0.608,21.484742400000002,0.9630199915363555
4000.0,0.56,22.508464,0.8454467121800004
4000.0,0.507,23.5321856,0.726037943640285
4000.0,0.449,24.5559072,0.6053035440236982
4000.0,0.387,25.5751584,0.4836513998154314
4000.0,0.321,26.59888,0.3616933407432712
4000.0,0.251,27.6226016,0.23973528167111094
4000.0,0.177,28.646323199999998,0.11859299556933306
4000.0,0.1,29.670044800000003,-0.0015295743194668923
5000.0,0.907,0.0,3.41696705806774
5000.0,0.936,1.2785343999999998,3.4050363783758986
5000.0,0.968,2.5615392000000003,3.3906583797729093
5000.0,1.001,3.8400735999999998,3.3734251757735825
5000.0,1.035,5.118607999999999,3.352317050164939
5000.0,1.07,6.3971424,3.3264162583553003
