RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.001,0.0,0.010299133751077076
1000.0,0.001,0.0849376,0.01009519050848149
1000.0,0.001,0.1654048,0.009891247265885904
1000.0,0.001,0.2503424,0.009687304023290318
1000.0,0.001,0.3308096,0.009483360780694733
1000.0,0.001,0.41574720000000004,0.009279417538099147
1000.0,0.001,0.49621440000000006,0.008973502674205769
1000.0,0.001,0.581152,0.008769559431610183
1000.0,0.001,0.6616192,0.008463644567716805
1000.0,0.001,0.7465567999999999,0.008157729703823427
1000.0,0.001,0.827024,0.007851814839930048
1000.0,0.001,0.9119616,0.007545899976036669
1000.0,0.001,0.9968992,0.007138013490845499
1000.0,0.001,1.0773664,0.00683209862695212
1000.0,0.001,1.162304,0.006424212141760948
1000.0,0.001,1.2427712,0.006118297277867569
1000.0,0.001,1.3277088000000001,0.0057104107926763984
1000.0,0.001,1.4081759999999999,0.005302524307485227
1000.0,0.001,1.4931135999999998,0.004894637822294056
1000.0,0.001,1.5735808,0.004486751337102884
1000.0,0.001,1.6585184,0.003976893230613921
1000.0,0.001,1.7389856000000001,0.0035690067454227496
1000.0,0.001,1.8239232,0.0031611202602315775
1000.0,0.001,1.9088607999999998,0.0026512621537426134
1000.0,0.001,1.989328,0.002243375668551442
1000.0,0.001,2.0742656,0.0017335175620624783
1000.0,0.001,2.1547328,0.0013256310768713067
1000.0,0.001,2.2396704,0.0009177445916801354
1000.0,0.001,2.3201376000000002,0.00040788648519117136
1000.0,0.001,2.4050751999999997,0.0
2000.0,0.005,0.0,0.0412985066256061
2000.0,0.005,0.1654048,0.04048273365522376
2000.0,0.005,0.3308096,0.039768932306139204
2000.0,0.005,0.49621440000000006,0.03895315933575686
2000.0,0.005,0.6616192,0.03803541474407673
2000.0,0.005,0.8314944000000001,0.03711767015239659
2000.0,0.005,0.9968992,0.03609795393941866
2000.0,0.005,1.162304,0.03507823772644073
2000.0,0.005,1.3277088000000001,0.03395654989216501
2000.0,0.005,1.4931135999999998,0.0327328904365915
2000.0,0.005,1.6585184,0.03150923098101798
2000.0,0.005,1.8239232,0.030183599904146676
2000.0,0.005,1.989328,0.028755997205977574
2000.0,0.005,2.1592032,0.02732839450780848
2000.0,0.005,2.324608,0.02590079180963938
2000.0,0.005,2.4900128,0.024371217490172487
2000.0,0.005,2.6554176000000003,0.0227396715494078
