RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.008,0.0,0.03609795393941866
1000.0,0.008,0.12070080000000001,0.0355880958329297
1000.0,0.008,0.24140160000000002,0.03487429448384515
1000.0,0.008,0.3621024,0.034262464756058396
1000.0,0.008,0.4783328,0.03354866340697384
1000.0,0.008,0.5990336,0.0327328904365915
1000.0,0.008,0.7197344,0.031917117466209156
1000.0,0.008,0.8404351999999999,0.03099937287452902
1000.0,0.008,0.961136,0.030081628282848882
1000.0,0.008,1.0818368,0.029163883691168745
1000.0,0.008,1.2025375999999999,0.02804219585689303
1000.0,0.008,1.3232384,0.0270224796439151
1000.0,0.008,1.4394688,0.025798820188341585
1000.0,0.008,1.5601696,0.02457516073276807
1000.0,0.008,1.6808703999999999,0.02335150127719456
1000.0,0.007,1.8015712000000002,0.02202587020032325
1000.0,0.007,1.922272,0.02059826750215415
1000.0,0.007,2.0429728000000003,0.019170664803985053
1000.0,0.007,2.1636736,0.01774306210581595
1000.0,0.007,2.2843744,0.01621348778634906
1000.0,0.006,2.4006048,0.014683913466882166
1000.0,0.006,2.5213056,0.013052367526117483
1000.0,0.006,2.6420064,0.01152279320665059
1000.0,0.006,2.7627072,0.009891247265885904
1000.0,0.005,2.883408,0.00825970132512122
1000.0,0.005,3.0041088,0.006526183763058742
1000.0,0.005,3.1248096,0.004894637822294056
1000.0,0.004,3.24104,0.003263091881529371
1000.0,0.004,3.3617407999999998,0.0016315459407646854
1000.0,0.004,3.4824416,0.00010197162129779284
2000.0,0.028,0.0,0.1451056171067592
2000.0,0.029,0.24140160000000002,0.14276026981690995
2000.0,0.029,0.48280320000000004,0.14021097928446513
2000.0,0.029,0.7242048,0.13745774550942474
2000.0,0.029,0.9656064000000001,0.13450056849178874
2000.0,0.029,1.2114784,0.13144141985285496
2000.0,0.029,1.45288,0.1280763563500278
2000.0,0.029,1.6942816,0.12450734960460505
2000.0,0.029,1.9356832,0.12083637123788452
2000.0,0.029,2.1770848,0.11685947800727058
2000.0,0.029,2.4184864,0.1125766699127633
2000.0,0.029,2.659888,0.10819189019695818
2000.0,0.028,2.9012896,0.1035011956172597
2000.0,0.028,3.1471616,0.09860655779496566
2000.0,0.027,3.3885632,0.09350797673007603
2000.0,0.027,3.6299647999999998,0.088103480801293
2000.0,0.026,3.8713664,0.0824950416299144
2000.0,0.025,4.112768,0.07678463083723801
2000.0,0.025,4.3541696,0.07076830518066822
2000.0,0.024,4.595571199999999,0.06465000790280065
2000.0,0.023,4.8369728,0.05842973900363529
2000.0,0.021,5.082844799999999,0.052107498483172136
2000.0,0.02,5.3242464,0.04568328634141119
2000.0,0.019,5.5656479999999995,0.03915710257835245
2000.0,0.018,5.8070496,0.03263091881529371
2000.0,0.016,6.0484512,0.026002763430937173
2000.0,0.015,6.2898528,0.019374608046580637
2000.0,0.013,6.5312544,0.012848424283521896
2000.0,0.012,6.7726560000000005,0.006424212141760948
2000.0,0.01,7.018528,0.00010197162129779284
3000.0,0.061,0.0,0.32743087598721277
3000.0,0.061,0.37104319999999996,0.321924408437132
3000.0,0.062,0.7420863999999999,0.31601005440186
3000.0,0.062,1.1131296000000002,0.3096878138813968
3000.0,0.063,1.4841727999999998,0.3029576868757425
3000.0,0.063,1.8596864,0.2957177017635992
3000.0,0.063,2.2307296,0.28806983016626475
3000.0,0.063,2.6017728,0.27981012884114354
3000.0,0.063,2.972816,0.27104056940953336
3000.0,0.063,3.3438592000000003,0.26176115187143423
3000.0,0.062,3.7149024,0.2519718762268461
3000.0,0.062,4.0859456000000005,0.24157077085447123
3000.0,0.061,4.4569888,0.23065980737560737
3000.0,0.06,4.828032,0.21923898579025458
3000.0,0.059,5.1990752,0.2073083060984128
3000.0,0.057,5.5745888,0.1947657966787843
3000.0,0.056,5.945632,0.18171342915266683
3000.0,0.054,6.316675200000001,0.16825317514135815
3000.0,0.052,6.6877184000000005,0.15438503464485834
3000.0,0.049,7.0587615999999995,0.14021097928446513
3000.0,0.047,7.4298048,0.12573100906017856
3000.0,0.044,7.800847999999999,0.11094512397199861
3000.0,0.041,8.171891200000001,0.09605726726252084
3000.0,0.038,8.5429344,0.08096546731044751
3000.0,0.035,8.9139776,0.06587366735837417
3000.0,0.032,9.2894912,0.05078186740630083
3000.0,0.028,9.6605344,0.03569006745422749
3000.0,0.024,10.0315776,0.020802210744749736
3000.0,0.021,10.4026208,0.006220268899165362
3000.0,,10.773664,
4000.0,0.105,0.0,0.5836855603085662
4000.0,0.106,0.48727360000000003,0.5742021995278714
4000.0,0.107,0.9745472000000001,0.5639030657767944
4000.0,0.108,1.4573504,0.5529921022979305
4000.0,0.109,1.944624,0.5412653658486843
4000.0,0.109,2.4318976,0.5287228564290558
4000.0,0.11,2.9191712,0.5152626024177471
4000.0,0.11,3.4019744000000003,0.501088547057354
4000.0,0.11,3.889248,0.4858947754839828
4000.0,0.109,4.376521599999999,0.4698852309402293
4000.0,0.108,4.8637952,0.45285597018349794
4000.0,0.108,5.3510688,0.4349089648350864
4000.0,0.106,5.833872,0.41604421489499477
4000.0,0.105,6.3211456,0.39626172036322294
4000.0,0.102,6.8084192,0.37556148123977096
4000.0,0.1,7.2956928,0.3538415259033411
4000.0,0.097,7.778496,0.3313057975965289
4000.0,0.094,8.265769599999999,0.30795429631933435
4000.0,0.09,8.753043199999999,0.2838889936930552
4000.0,0.086,9.2403168,0.2593138329602872
4000.0,0.082,9.7275904,0.2341268424997323
4000.0,0.078,10.2103936,0.2086339371752841
4000.0,0.073,10.6976672,0.18263117374434695
4000.0,0.067,11.1849408,0.1564244670708142
4000.0,0.062,11.6722144,0.13011578877598365
4000.0,0.056,12.1550176,0.10360316723855752
4000.0,0.05,12.6422912,0.07729448894372697
4000.0,0.043,13.1295648,0.051189753891492
4000.0,0.037,13.6168384,0.025390933703150414
4000.0,0.03,14.104112,0.00010197162129779284
5000.0,0.161,0.0,0.9151953011476907
5000.0,0.163,0.6079744,0.9002054728169151
5000.0,0.165,1.2159488,0.8841959282731615
5000.0,0.166,1.8239232,0.8670646958951325
5000.0,0.167,2.4318976,0.8487098040615297
5000.0,0.168,3.039872,0.8290292811510558
5000.0,0.169,3.6523168,0.8080231271637104
5000.0,0.169,4.260291199999999,0.7856913420994938
5000.0,0.169,4.8682656,0.7620339259584058
5000.0,0.168,5.47624,0.736846935497851
5000.0,0.167,6.0842144,0.710232342339127
5000.0,0.165,6.6921888,0.6820881748609362
5000.0,0.163,7.300163199999999,0.6525164046845763
5000.0,0.161,7.908137600000001,0.6214150601887496
5000.0,0.158,8.516112,0.5888861129947537
5000.0,0.154,9.1240864,0.5549295631025886
5000.0,0.149,9.7320608,0.5194434388909567
5000.0,0.144,10.3445056,0.4828356268450491
5000.0,0.139,10.95248,0.44520809858616345
5000.0,0.132,11.5604544,0.40656085411430004
5000.0,0.125,12.1684288,0.3670978366720542
5000.0,0.118,12.776403199999999,0.3270229895020216
5000.0,0.11,13.3843776,0.2863363126042022
5000.0,0.102,13.992352,0.24524174922119174
5000.0,0.093,14.600326399999998,0.20394324259558566
5000.0,0.083,15.208300800000002,0.16254276434868178
5000.0,0.074,15.816275200000002,0.12124425772307568
5000.0,0.063,16.4242496,0.08025166596136296
5000.0,0.053,17.0366944,0.03997287554873479
5000.0,0.042,17.644668799999998,0.00040788648519117136
6000.0,0.23,0.0,1.323081786338862
6000.0,0.232,0.7286752,1.3015657742450277
6000.0,0.235,1.4618208,1.2784182162104287
6000.0,0.237,2.190496,1.2536391122350652
6000.0,0.238,2.9236416,1.227126490697639
6000.0,0.24,3.6523168,1.1987783799768525
6000.0,0.24,4.3854624,1.168492808451408
6000.0,0.241,5.114137599999999,1.1361678045000076
6000.0,0.241,5.8472832,1.1019053397439493
6000.0,0.24,6.5759584,1.0655014709406372
6000.0,0.238,7.3091040000000005,1.0269561980900717
6000.0,0.236,8.0377792,0.9862695211922523
6000.0,0.233,8.7709248,0.9434414402471794
