RPM,Torque (N-m),V(speed) (m/s),Thrust (kg)
1000.0,0.002,0.0,0.008565616189014599
1000.0,0.002,0.1475232,0.008565616189014599
1000.0,0.002,0.2995168,0.008463644567716805
1000.0,0.002,0.44704,0.008463644567716805
1000.0,0.002,0.5990336,0.008463644567716805
1000.0,0.002,0.7465567999999999,0.008361672946419013
1000.0,0.002,0.89408,0.008361672946419013
1000.0,0.002,1.0460736,0.00825970132512122
1000.0,0.003,1.1935968,0.00825970132512122
1000.0,0.003,1.3455903999999999,0.008157729703823427
1000.0,0.003,1.4931135999999998,0.008055758082525634
1000.0,0.003,1.6406368,0.007953786461227842
1000.0,0.003,1.7926304,0.007749843218632255
1000.0,0.003,1.9401536,0.007545899976036669
1000.0,0.003,2.0921472,0.00723998511214329
1000.0,0.003,2.2396704,0.006934070248249913
1000.0,0.003,2.3871936,0.006628155384356535
1000.0,0.003,2.5391871999999998,0.006220268899165362
1000.0,0.003,2.6867104,0.005812382413974191
1000.0,0.002,2.838704,0.00540449592878302
1000.0,0.002,2.9862271999999996,0.004894637822294056
1000.0,0.002,3.1337504,0.0043847797158050915
1000.0,0.002,3.2857439999999998,0.0038749216093161274
1000.0,0.002,3.4332672,0.0033650635028271638
1000.0,0.002,3.5852608,0.0028552053963381992
1000.0,0.002,3.7327839999999997,0.002243375668551442
1000.0,0.002,3.8803072,0.0017335175620624783
1000.0,0.001,4.0323008,0.001223659455573514
1000.0,0.001,4.179824,0.000611829727786757
1000.0,0.001,4.3318176,0.00010197162129779284
2000.0,0.007,0.0,0.034466407998653976
2000.0,0.008,0.3039872,0.034364436377356186
2000.0,0.008,0.6079744,0.034262464756058396
2000.0,0.008,0.9119616,0.0341604931347606
2000.0,0.008,1.2159488,0.03405852151346281
2000.0,0.008,1.519936,0.03385457827086722
2000.0,0.009,1.8239232,0.03375260664956943
2000.0,0.009,2.1279103999999998,0.03354866340697384
2000.0,0.009,2.4318976,0.033242748543080465
2000.0,0.009,2.7314144000000002,0.03293683367918709
2000.0,0.009,3.0354016,0.03252894719399591
2000.0,0.01,3.3393888,0.03201908908750695
2000.0,0.01,3.643376,0.0313052877384224
2000.0,0.01,3.9473632,0.030489514768040054
2000.0,0.01,4.2513504,0.029367826933764333
2000.0,0.01,4.5553376,0.028144167478190825
2000.0,0.01,4.8593247999999996,0.026716564780021722
2000.0,0.009,5.163312,0.025085018839257036
2000.0,0.009,5.4672992,0.02335150127719456
2000.0,0.009,5.7712864,0.021414040472536495
2000.0,0.008,6.0752736,0.01947657966787843
2000.0,0.008,6.3792608,0.017437147241922576
2000.0,0.008,6.683248,0.015397714815966718
2000.0,0.007,6.987235200000001,0.01325631076871307
2000.0,0.006,7.2912224,0.011114906721459419
2000.0,0.006,7.5907392,0.008871531052907975
2000.0,0.005,7.8947264,0.006628155384356535
2000.0,0.004,8.1987136,0.004486751337102884
